name,lat_deg,lon_deg,alt_km,epoch,plane_index,sat_index,raan_deg,true_anomaly_deg
Optimized-Plane1-Sat1,0.000000,79.539382,542.863,2000-01-01T12:00:00+00:00,0,0,0.000000,0.000000
Optimized-Plane1-Sat2,23.665557,98.699577,546.286,2000-01-01T12:00:00+00:00,0,1,0.000000,30.000000
Optimized-Plane1-Sat3,43.936863,125.727956,553.117,2000-01-01T12:00:00+00:00,0,2,0.000000,60.000000
Optimized-Plane1-Sat4,53.169964,169.539382,556.525,2000-01-01T12:00:00+00:00,0,3,0.000000,90.000000
Optimized-Plane1-Sat5,43.936863,-146.649193,553.117,2000-01-01T12:00:00+00:00,0,4,0.000000,120.000000
Optimized-Plane1-Sat6,23.665557,-119.620814,546.286,2000-01-01T12:00:00+00:00,0,5,0.000000,150.000000
Optimized-Plane1-Sat7,0.000000,-100.460618,542.863,2000-01-01T12:00:00+00:00,0,6,0.000000,180.000000
Optimized-Plane1-Sat8,-23.665557,-81.300423,546.286,2000-01-01T12:00:00+00:00,0,7,0.000000,210.000000
Optimized-Plane1-Sat9,-43.936863,-54.272044,553.117,2000-01-01T12:00:00+00:00,0,8,0.000000,240.000000
Optimized-Plane1-Sat10,-53.169964,-10.460618,556.525,2000-01-01T12:00:00+00:00,0,9,0.000000,270.000000
Optimized-Plane1-Sat11,-43.936863,33.350807,553.117,2000-01-01T12:00:00+00:00,0,10,0.000000,300.000000
Optimized-Plane1-Sat12,-23.665557,60.379186,546.286,2000-01-01T12:00:00+00:00,0,11,0.000000,330.000000
Optimized-Plane2-Sat1,0.000000,115.539382,542.863,2000-01-01T12:00:00+00:00,1,0,36.000000,0.000000
Optimized-Plane2-Sat2,23.665557,134.699577,546.286,2000-01-01T12:00:00+00:00,1,1,36.000000,30.000000
Optimized-Plane2-Sat3,43.936863,161.727956,553.117,2000-01-01T12:00:00+00:00,1,2,36.000000,60.000000
Optimized-Plane2-Sat4,53.169964,-154.460618,556.525,2000-01-01T12:00:00+00:00,1,3,36.000000,90.000000
Optimized-Plane2-Sat5,43.936863,-110.649193,553.117,2000-01-01T12:00:00+00:00,1,4,36.000000,120.000000
Optimized-Plane2-Sat6,23.665557,-83.620814,546.286,2000-01-01T12:00:00+00:00,1,5,36.000000,150.000000
Optimized-Plane2-Sat7,0.000000,-64.460618,542.863,2000-01-01T12:00:00+00:00,1,6,36.000000,180.000000
Optimized-Plane2-Sat8,-23.665557,-45.300423,546.286,2000-01-01T12:00:00+00:00,1,7,36.000000,210.000000
Optimized-Plane2-Sat9,-43.936863,-18.272044,553.117,2000-01-01T12:00:00+00:00,1,8,36.000000,240.000000
Optimized-Plane2-Sat10,-53.169964,25.539382,556.525,2000-01-01T12:00:00+00:00,1,9,36.000000,270.000000
Optimized-Plane2-Sat11,-43.936863,69.350807,553.117,2000-01-01T12:00:00+00:00,1,10,36.000000,300.000000
Optimized-Plane2-Sat12,-23.665557,96.379186,546.286,2000-01-01T12:00:00+00:00,1,11,36.000000,330.000000
Optimized-Plane3-Sat1,0.000000,151.539382,542.863,2000-01-01T12:00:00+00:00,2,0,72.000000,0.000000
Optimized-Plane3-Sat2,23.665557,170.699577,546.286,2000-01-01T12:00:00+00:00,2,1,72.000000,30.000000
Optimized-Plane3-Sat3,43.936863,-162.272044,553.117,2000-01-01T12:00:00+00:00,2,2,72.000000,60.000000
Optimized-Plane3-Sat4,53.169964,-118.460618,556.525,2000-01-01T12:00:00+00:00,2,3,72.000000,90.000000
Optimized-Plane3-Sat5,43.936863,-74.649193,553.117,2000-01-01T12:00:00+00:00,2,4,72.000000,120.000000
Optimized-Plane3-Sat6,23.665557,-47.620814,546.286,2000-01-01T12:00:00+00:00,2,5,72.000000,150.000000
Optimized-Plane3-Sat7,0.000000,-28.460618,542.863,2000-01-01T12:00:00+00:00,2,6,72.000000,180.000000
Optimized-Plane3-Sat8,-23.665557,-9.300423,546.286,2000-01-01T12:00:00+00:00,2,7,72.000000,210.000000
Optimized-Plane3-Sat9,-43.936863,17.727956,553.117,2000-01-01T12:00:00+00:00,2,8,72.000000,240.000000
Optimized-Plane3-Sat10,-53.169964,61.539382,556.525,2000-01-01T12:00:00+00:00,2,9,72.000000,270.000000
Optimized-Plane3-Sat11,-43.936863,105.350807,553.117,2000-01-01T12:00:00+00:00,2,10,72.000000,300.000000
Optimized-Plane3-Sat12,-23.665557,132.379186,546.286,2000-01-01T12:00:00+00:00,2,11,72.000000,330.000000
Optimized-Plane4-Sat1,0.000000,-172.460618,542.863,2000-01-01T12:00:00+00:00,3,0,108.000000,0.000000
Optimized-Plane4-Sat2,23.665557,-153.300423,546.286,2000-01-01T12:00:00+00:00,3,1,108.000000,30.000000
Optimized-Plane4-Sat3,43.936863,-126.272044,553.117,2000-01-01T12:00:00+00:00,3,2,108.000000,60.000000
Optimized-Plane4-Sat4,53.169964,-82.460618,556.525,2000-01-01T12:00:00+00:00,3,3,108.000000,90.000000
Optimized-Plane4-Sat5,43.936863,-38.649193,553.117,2000-01-01T12:00:00+00:00,3,4,108.000000,120.000000
Optimized-Plane4-Sat6,23.665557,-11.620814,546.286,2000-01-01T12:00:00+00:00,3,5,108.000000,150.000000
Optimized-Plane4-Sat7,0.000000,7.539382,542.863,2000-01-01T12:00:00+00:00,3,6,108.000000,180.000000
Optimized-Plane4-Sat8,-23.665557,26.699577,546.286,2000-01-01T12:00:00+00:00,3,7,108.000000,210.000000
Optimized-Plane4-Sat9,-43.936863,53.727956,553.117,2000-01-01T12:00:00+00:00,3,8,108.000000,240.000000
Optimized-Plane4-Sat10,-53.169964,97.539382,556.525,2000-01-01T12:00:00+00:00,3,9,108.000000,270.000000
Optimized-Plane4-Sat11,-43.936863,141.350807,553.117,2000-01-01T12:00:00+00:00,3,10,108.000000,300.000000
Optimized-Plane4-Sat12,-23.665557,168.379186,546.286,2000-01-01T12:00:00+00:00,3,11,108.000000,330.000000
Optimized-Plane5-Sat1,0.000000,-136.460618,542.863,2000-01-01T12:00:00+00:00,4,0,144.000000,0.000000
Optimized-Plane5-Sat2,23.665557,-117.300423,546.286,2000-01-01T12:00:00+00:00,4,1,144.000000,30.000000
Optimized-Plane5-Sat3,43.936863,-90.272044,553.117,2000-01-01T12:00:00+00:00,4,2,144.000000,60.000000
Optimized-Plane5-Sat4,53.169964,-46.460618,556.525,2000-01-01T12:00:00+00:00,4,3,144.000000,90.000000
Optimized-Plane5-Sat5,43.936863,-2.649193,553.117,2000-01-01T12:00:00+00:00,4,4,144.000000,120.000000
Optimized-Plane5-Sat6,23.665557,24.379186,546.286,2000-01-01T12:00:00+00:00,4,5,144.000000,150.000000
Optimized-Plane5-Sat7,0.000000,43.539382,542.863,2000-01-01T12:00:00+00:00,4,6,144.000000,180.000000
Optimized-Plane5-Sat8,-23.665557,62.699577,546.286,2000-01-01T12:00:00+00:00,4,7,144.000000,210.000000
Optimized-Plane5-Sat9,-43.936863,89.727956,553.117,2000-01-01T12:00:00+00:00,4,8,144.000000,240.000000
Optimized-Plane5-Sat10,-53.169964,133.539382,556.525,2000-01-01T12:00:00+00:00,4,9,144.000000,270.000000
